GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,755.04,1229.84,1396.08,-971.38,-8390.73,456.1,3924.95,-1705.63,45.85,-1600.09,-1659.78,-3259.86
2,615.49,1064.55,1391.27,-998.98,-8381.51,457.31,3933.42,-1736.54,45.07,-1918.45,-1691.47,-3609.93
3,539.86,970.99,1386.84,-995.04,-8428.23,458.62,3952.76,-1714.14,45.6,-2114.21,-1668.55,-3782.76
4,523.29,913.41,1363.19,-980.42,-8393.67,469.53,3937.54,-1731.32,45.47,-2167.14,-1685.85,-3852.99
5,506.78,871.41,1348.58,-1008.72,-8423.55,449.03,3947.69,-1728.9,44.79,-2308.79,-1684.11,-3992.9
6,487.55,861.87,1353.28,-983.51,-8395.38,457.19,3924.49,-1708.26,44.9,-2294.5,-1663.36,-3957.86
7,456.69,913.61,1362.48,-970.2,-8390.7,453.57,3895.16,-1728.14,45.27,-2279.39,-1682.87,-3962.26
8,473.36,856.75,1384.98,-988.89,-8401.8,452.3,3933.74,-1729.85,45.87,-2289.56,-1683.98,-3973.54
9,467.06,872.91,1367.84,-975.32,-8385.17,450.07,3890.26,-1714.92,45.65,-2312.34,-1669.27,-3981.62
10,465.67,867.43,1352.77,-999.78,-8361.41,447.22,3886.58,-1729.34,45.47,-2341.51,-1683.86,-4025.38

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,754.98,1226.43,1395.92,-959.95,-8391.73,455.84,3925.1,-1709.07,46.13,-1593.41,-1662.94,-3256.35
2,615.27,1059.71,1391.13,-986.94,-8382.15,457.03,3933.54,-1740.93,45.43,-1912.41,-1695.5,-3607.92
3,539.77,967.71,1385.67,-983.03,-8429.0,458.11,3952.95,-1718.7,45.88,-2107.81,-1672.82,-3780.64
4,523.18,908.68,1362.58,-969.1,-8394.48,468.84,3937.73,-1735.95,45.73,-2162.57,-1690.21,-3852.78
5,506.3,867.78,1348.45,-998.4,-8424.48,448.36,3947.88,-1733.24,45.01,-2304.11,-1688.23,-3992.34
6,487.34,859.04,1351.99,-972.13,-8396.4,456.2,3924.66,-1711.59,45.2,-2289.31,-1666.4,-3955.7
7,456.53,910.52,1362.05,-958.27,-8391.73,453.35,3895.33,-1732.4,45.57,-2272.21,-1686.83,-3959.04
8,472.03,851.86,1384.32,-979.98,-8402.82,451.84,3933.95,-1733.42,46.08,-2288.8,-1687.34,-3976.14
9,466.25,867.7,1367.38,-964.37,-8385.84,450.03,3890.34,-1719.6,45.88,-2308.5,-1673.72,-3982.22
10,465.5,863.24,1352.55,-988.33,-8362.31,446.69,3886.8,-1732.95,45.66,-2335.87,-1687.29,-4023.16

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.06,3.42,0.16,-0.1,0.9,0.25,-0.15,-0.13,1.42,4.55,1.29,5.83
2,0.22,4.84,0.15,-0.1,0.9,0.28,-0.12,-0.12,1.42,6.16,1.3,7.46
3,0.09,3.29,1.17,-0.02,0.93,0.5,-0.19,-0.12,1.41,5.77,1.29,7.06
4,0.1,4.73,0.61,-0.02,0.95,0.69,-0.19,-0.11,1.42,6.87,1.3,8.17
5,0.49,3.62,0.13,-0.05,0.95,0.67,-0.2,-0.11,1.41,5.61,1.3,6.91
6,0.21,2.84,1.29,0.07,0.95,0.99,-0.17,-0.11,1.41,6.17,1.3,7.47
7,0.15,3.09,0.43,-0.09,0.91,0.22,-0.18,-0.13,1.42,4.55,1.29,5.83
8,1.33,4.88,0.66,-0.06,0.93,0.46,-0.21,-0.12,1.41,8.0,1.29,9.29
9,0.81,5.2,0.46,-0.09,0.86,0.04,-0.08,-0.14,1.42,7.2,1.28,8.48
10,0.17,4.2,0.22,0.02,0.96,0.53,-0.22,-0.11,1.42,5.89,1.31,7.19

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,-0.0,-0.0,-11.32,0.1,-0.0,0.0,3.56,-1.69,-11.23,1.87,-9.35
2,0.0,0.0,0.0,-11.94,-0.27,-0.0,-0.0,4.52,-1.78,-12.21,2.74,-9.47
3,0.0,-0.0,0.0,-12.0,-0.17,0.0,0.0,4.68,-1.7,-12.17,2.98,-9.18
4,0.0,-0.0,-0.0,-11.3,-0.14,-0.0,-0.0,4.74,-1.68,-11.43,3.06,-8.37
5,-0.0,-0.0,-0.0,-10.27,-0.02,-0.0,-0.0,4.45,-1.63,-10.29,2.82,-7.47
6,-0.0,0.0,0.0,-11.44,0.07,0.0,0.0,3.45,-1.71,-11.37,1.73,-9.63
7,0.0,0.0,-0.0,-11.85,0.12,0.0,0.0,4.39,-1.71,-11.73,2.68,-9.05
8,-0.0,-0.0,0.0,-8.85,0.09,-0.0,0.0,3.7,-1.63,-8.76,2.07,-6.69
9,0.0,0.0,-0.0,-10.86,-0.18,0.0,0.0,4.82,-1.65,-11.04,3.16,-7.88
10,0.0,0.0,0.0,-11.48,-0.05,0.0,-0.0,3.72,-1.6,-11.53,2.12,-9.41


