GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,696.57,1234.63,1397.51,-968.95,-8411.7,454.68,3941.51,-1673.21,45.76,-1655.75,-1627.45,-3283.2
2,556.49,1061.38,1391.65,-996.14,-8403.99,455.59,3948.47,-1701.61,44.98,-1986.55,-1656.63,-3643.18
3,483.06,970.96,1387.41,-995.69,-8452.14,457.56,3970.67,-1679.62,45.3,-2178.16,-1634.32,-3812.48
4,465.05,915.8,1363.04,-978.98,-8415.88,466.29,3953.38,-1698.35,45.39,-2231.31,-1652.96,-3884.27
5,447.61,874.96,1348.59,-1007.71,-8446.18,446.98,3964.39,-1695.04,44.73,-2371.34,-1650.31,-4021.65
6,429.65,865.96,1353.69,-982.52,-8418.53,455.26,3941.57,-1674.52,44.68,-2354.93,-1629.84,-3984.76
7,399.27,913.59,1364.73,-969.16,-8414.04,452.43,3912.68,-1694.15,45.16,-2340.5,-1648.99,-3989.49
8,414.75,853.56,1384.81,-985.58,-8423.86,449.44,3949.88,-1695.73,45.65,-2357.0,-1650.08,-4007.08
9,410.68,872.6,1367.52,-975.84,-8410.69,447.14,3908.68,-1680.23,45.41,-2379.91,-1634.82,-4014.74
10,407.1,867.4,1353.28,-999.25,-8383.52,446.04,3902.34,-1694.93,45.25,-2406.61,-1649.68,-4056.29

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,696.5,1231.22,1397.35,-957.9,-8412.69,454.43,3941.66,-1676.56,46.12,-1649.43,-1630.44,-3279.87
2,556.27,1056.54,1391.51,-983.64,-8404.62,455.31,3948.59,-1705.9,45.42,-1980.03,-1660.48,-3640.51
3,482.97,967.68,1386.24,-983.05,-8452.89,457.06,3970.86,-1684.08,45.67,-2171.13,-1638.42,-3809.55
4,464.95,911.07,1362.43,-967.16,-8416.68,465.6,3953.57,-1702.86,45.71,-2226.23,-1657.15,-3883.37
5,447.13,871.34,1348.47,-997.01,-8447.1,446.31,3964.59,-1699.33,45.0,-2366.27,-1654.33,-4020.61
6,429.44,863.12,1352.4,-971.81,-8419.53,454.27,3941.74,-1677.78,45.05,-2350.36,-1632.73,-3983.09
7,399.12,910.5,1364.3,-956.73,-8415.07,452.21,3912.85,-1698.31,45.52,-2332.83,-1652.79,-3985.62
8,413.42,848.67,1384.15,-976.09,-8424.84,448.98,3950.09,-1699.26,45.91,-2355.62,-1653.35,-4008.97
9,409.86,867.39,1367.06,-964.74,-8411.36,447.1,3908.76,-1684.8,45.68,-2375.92,-1639.12,-4015.04
10,406.93,863.21,1353.06,-987.23,-8384.44,445.51,3902.55,-1698.47,45.49,-2400.42,-1652.98,-4053.4

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.06,3.42,0.16,-0.1,0.9,0.25,-0.15,-0.13,1.42,4.55,1.29,5.83
2,0.22,4.84,0.15,-0.1,0.9,0.28,-0.12,-0.12,1.42,6.16,1.3,7.46
3,0.09,3.29,1.17,-0.02,0.93,0.5,-0.19,-0.12,1.41,5.77,1.29,7.06
4,0.1,4.73,0.61,-0.02,0.95,0.69,-0.19,-0.11,1.42,6.87,1.3,8.17
5,0.49,3.62,0.13,-0.05,0.95,0.67,-0.2,-0.11,1.41,5.61,1.3,6.91
6,0.21,2.84,1.29,0.07,0.95,0.99,-0.17,-0.11,1.41,6.17,1.3,7.47
7,0.15,3.09,0.43,-0.09,0.91,0.22,-0.18,-0.13,1.42,4.55,1.29,5.83
8,1.33,4.88,0.66,-0.06,0.93,0.46,-0.21,-0.12,1.41,8.0,1.29,9.29
9,0.81,5.2,0.46,-0.09,0.86,0.04,-0.08,-0.14,1.42,7.2,1.28,8.48
10,0.17,4.2,0.22,0.02,0.96,0.53,-0.22,-0.11,1.42,5.89,1.31,7.19

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,-0.0,0.0,-10.95,0.08,0.0,0.0,3.47,-1.77,-10.87,1.7,-9.17
2,0.0,0.0,0.0,-12.41,-0.27,0.0,0.0,4.41,-1.86,-12.68,2.55,-10.13
3,0.0,-0.0,-0.0,-12.62,-0.18,0.0,-0.0,4.58,-1.78,-12.8,2.8,-10.0
4,0.0,-0.0,0.0,-11.8,-0.15,-0.0,-0.0,4.62,-1.74,-11.95,2.88,-9.07
5,0.0,0.0,-0.0,-10.64,-0.03,-0.0,-0.0,4.41,-1.69,-10.68,2.72,-7.95
6,-0.0,-0.0,0.0,-10.78,0.05,0.0,0.0,3.37,-1.78,-10.74,1.59,-9.15
7,0.0,0.0,-0.0,-12.34,0.12,-0.0,0.0,4.29,-1.77,-12.22,2.52,-9.7
8,0.0,0.0,0.0,-9.43,0.05,0.0,0.0,3.66,-1.68,-9.38,1.98,-7.4
9,0.0,-0.0,0.0,-11.0,-0.19,-0.0,0.0,4.71,-1.69,-11.19,3.01,-8.18
10,-0.0,-0.0,0.0,-12.04,-0.05,-0.0,-0.0,3.65,-1.66,-12.08,1.99,-10.09


